computer science,c100000
cst with specialization artificial intelligence and robotics,c110060
electronic and tele,c110061
cse bid data and analytics,c110062
computer enineering,c110063
computer sience,c110064
electronics and instru,c110065
direct science year mechanical engineering,c110066
mech engineering 2012 pattern with credits,c110067
machine desgin,c110068
auto and farm machinery,c110069
mechanical engineering self financing,c110070
robotics and control,c110071
mechanical enigeering,c110072
energy systems engineering,c110073
dme t and d,c110074
/ae,c110075
mechanica l engineering,c110076
masters production engineering,c110077
dme 0711,c110078
mechanical r and ac engineering,c110079
mach engineering,c110080
mecahnical,c110081
computer science and eng,c110082
computer science egg,c110083
mobile computer artificial intelligence,c110084
post graduate electronics and communiction engineering,c110085
cse with spz mainframe technology,c110086
engineerng,c110087
pgme computer science and engineering,c110088
computer science and engineering with specialization mobile technology,c110089
cyber forensic and information security,c110090
computer science engineering ne2rks computer,c110091
vlsi it,c110092
computer science and enginneering,c110093
advanced computer application,c110094
computer science and enginnering,c110095
computer science engineering as per university norms,c110096
distributed computer system,c110097
automobile engineerning,c110098
computer science and enginering,c110099
communication mathematics chmeistry,c110100
computer science engineering with specialization cyber security and forensics inin association with ibm,c110101
mechanical engineering design and manufacturing,c110102
cryogenic and vacuum technology,c110103
pgme mechanical cad/cam,c110104
machine designe,c110105
advanced internal combustion engines,c110106
mechanical enigneering production,c110107
prod mngt,c110108
energy systems,c110109
morning mechanical engineering,c110110
mechanical ptdc,c110111
mechanical engineering with specialization thermal engineering,c110112
automation and robotics pt,c110113
mechatronics and automation,c110114
mech tool and die,c110115
mechanical engineering and automation,c110116
mech engineering dual 5y with available special branch,c110117
mech engineering prod,c110118
mainenance,c110119
mechanical engineerig,c110120
computer hw and management,c110121
mechanical mechatronics engineering,c110122
mech engineering auto,c110123
mechanical engineerging,c110124
manufacturing processes engineering,c110125
thermal systems,c110126
mechanical engineering producation,c110127
cad and manufacturing,c110128
mechanical engineering spl welding and fabrication,c110129
additive manufacturing,c110130
r and ac,c110131
tubewell,c110132
manufacturering ngineering,c110133
advance manufacturing process,c110134
mech engineering maintinance,c110135
rub and plas,c110136
mechanical eng production,c110137
mechanical eng automobile,c110138
mehcnical engineerin,c110139
pro,c110140
heat power technology,c110141
engineerin g,c110142
production part time,c110143
ce1g,c110144
d civil,c110145
cad structures,c110146
mechanical subjects,c110147
dse mech first shi,c110148
internal combustion engines and turbo machinery,c110149
production technology and management,c110150
mechnical engineering tool and die,c110151
mechanical system design and innovation technology,c110152
production design and commerce,c110153
autombile engineering,c110154
computer analysis mechanical science,c110155
vlsi embedded system,c110156
mechatronic,c110157
production engineering sw,c110158
1st year,c110159
dme tool and die,c110160
machenical,c110161
mech 2nd shi,c110162
mecahnical rac,c110163
mechanical sandwich,c110164
mechanical enginee,c110165
mechanicla egineering production,c110166
computer integrated manufacture,c110167
mechanicalal,c110168
machine design and robotics,c110169
turbo mechinery,c110170
renewable engineering,c110171
thermal engineering with spl refrigeration and ari conditioning,c110172
advanced manufacturing and production management,c110173
farm power and machinery,c110174
computer secience and engineering,c110175
dcomputer,c110176
computer science engineeringence enig,c110177
computer science and engineering with specialization cloud computer,c110178
ne2rks,c110179
phd1,c110180
computer science e engineering,c110181
/ computer science and engineering,c110182
petroleum processing and petrochemical engineering,c110183
leather tech tanning,c110184
infrastructure design and management 2y,c110185
navel architecture and ocean,c110186
artificial intelligence,c110187
instrumentation ptdc,c110188
petro chemical engineering,c110189
computer int manufacturing,c110190
farm machinery and power engineering,c110191
printing and packaging technology,c110192
optoelectronics and optical communication,c110193
system engineering part time,c110194
vessel navigator,c110195
phdin cryogenic engineering,c110196
research/disaster,c110197
digital techniques for design and planning,c110198
mbe,c110199
bio medical engineering bio informatics,c110200
commercial and computer practice,c110201
plastic enginering,c110202
sbcc,c110203
agri informatics,c110204
nano,c110205
lec,c110206
geotechnology remote sensing and gis,c110207
bio process engineering,c110208
p and i,c110209
petroleum studies,c110210
post soware testing,c110211
m chemical engineering,c110212
earth system science and technology 2y,c110213
production and instrumentation engineering,c110214
bioengineering with biomedical technology,c110215
oils oleochemicals and surfactants technology,c110216
research/bioseparation technology,c110217
automobile eng,c110218
weekend building construction and management,c110219
engineering ae,c110220
structural dynamics and earthquake engineering,c110221
cse spec bda,c110222
es02,c110223
computer science engnieering,c110224
cs/it,c110225
bio process,c110226
mechanical auto mobile,c110227
ansi sugar tech,c110228
nterior decoration and design,c110229
plastics,c110230
nuclear engineering,c110231
power electronic systems and control,c110232
