,discipline,discipline_clean
114213,B.E.Electrical and Electronics Engineering,electrical and electronics engineering
114216,Electrical and  Electronics Engineering,electrical and electronics engineering
114227,Electrical Enginnering,electrical enginnering
114240,Electrical Machine Drive,electrical machine drive
114242,Electrical & Electro,electrical and electro
114243,PART TIME ELECTRICAL ENGINEERING,part time electrical engineering
114249,Power Systems Control and Automation Engineering,power systems control and automation engineering
114250,M.Tech-PSCA,psca
114253,PSCE,psce
114255,MS in Civil Engineering,msin civil engineering
114257,S E,civil engineering
114262,DESIGN OF FOUNDATION SYSTEMS,design foundation systems
114263,CONSTRUCTION  MANAGEMENT,construction management
114266,STR UCT URA L ENG INEE RIN G,str uct ura l eng inee rin g
114268,Masters of Civil (Structural Engineering),masters civil structural engineering
114271,civi,civi
114272,Civil Engg - 0704,civil engineering 0704
114286,Infrastructure Engineering,infrastructure engineering
114290,Civil  (First Shift),civil first shi
114298,COMPUTER SC. ENGG,computer science engineering
114299,COMPUTER ENGG (Evening),computer engineering evening
114304,Computer Science  and Enginering,computer science and enginering
114305,Computer Science and Engineering ( 2nd shift),computer science and engineering 2nd shi
114309,Computer Engineering (First Shift),computer engineering first shi
114333,1052,computer engineering
114356,B.TECH IT,information technology
114365,Electronics Engg. (First Shift),electronics engineering first shi
114366,Information Technology - 2nd Shift,information technology 2nd shi
114372,B.E. INFORMATION TECHNOLOGY,information technology
114388,UG Information Technology,information technology
114389,INFORMATION AND  TECHNOLOGY,information and technology
114391,Signal Processing Engineering,signal processing engineering
114400,1ST & 2ND SHIFT,1st and 2nd shi
114409,Information Science &Engineering,information science and engineering
114412,ECE (D),ece
114426,Master of Information Technology,master information technology
114429,Electronics &communication Engineering,electronics and communication engineering
114436,B.Tech.Information Technology,information technology
114442,Electronics & Communication (Industry Integrated),electronics and communication industry integrated
114448,SM,information technology
114450,ITE,ite
114454,ELECTRONICS COMMUNICATIONS ENGINEERING,electronics communications engineering
114462,"M.E., COMPUTER  SCIENCE & ENGINEERING ( NETWORKS)",computer science and engineering ne2rks
114463,WCC,wcc
114482,HCI SPl.,hci spl
114494,COMPUTER SC,computer science
114517,Computer Science and Engineering(With Specialization in Networks) and,computer science and engineering with specialization ne2rks 
114521,BIOMETRICS AND CYBER SECURITY,biometrics and cyber security
114522,Computer Science and Engineering ( 1st shift),computer science and engineering 1st shi
114542,Computer Science (External),computer science external
114557,Computer Science and Engineering (with specialization in Networks) (PT),computer science and engineering with specialization ne2rks pt
114559,CSE Shift -II,cse shiii
114566,"ELECTRICAL AND ELECTRONICS ENGG.,",electrical and electronics engineering
114578,Measurement & Control,measurement and control
114588,ee,electrical engineering
114590,Electrical&Electronics Engineering,electrical and electronics engineering
114591,Power System Engineering - Part Time,power system engineering part time
114593,"Professional Mathematics ,Engineering Mechanics,Computer Programming Through 'C 'Electrical component and material",professional mathematics engineering mechanics computer programming through 'c 'electrical computer and material
114596,power electronics devices,power electronics devices
114608,ITI,iti
114609,Power & Energy systems,power and energy systems
114617,0707,electrical engineering
114618,B.E- EEE,eee
114620,Electrical And Electronics Engineering,electrical and electronics engineering
114632,EMBEDDED  SYSTEM   TECHNOLOGIES,embedded system technologies
114633,Electrical Engineeing,electrical engineeing
114635,ELECTRICAL AND ELECTRONICS  ENGINEERING,electrical and electronics engineering
114638,Power electronics and Drives,power electronics and drives
114652,Electrical Drives and Embedded Control (FT),electrical drives and embedded control
114662,ELECTRICAL AND  ELECTRONICS ENGINEERING,electrical and electronics engineering
114667,09,electrical engineering
114676,electrical subjects,electrical subjects
114678,ELECTRICAL &  ELECTRONICS,electrical and electronics
114682,ME - PS,meps
114692,Master of Computer Science and Engineering,master computer science and engineering
114694,Computer Engineering Second Shift,computer engineering second shi
114703,4 year,4 year
114712,M.Tech - CST with Specialization in Computer Networks,cst with specialization computer ne2rks
114726,B. TECH. COMPUTER SCIENCE & ENGINEERING,computer science and engineering
114727,HARDWARE MAINTANANCE,hardware maintanance
114747,CACD&DM,cacd 
114751,Power Electronics  and  Drives,power electronics and drives
114767,Power System Engg,power system engineering
114772,Electrical & Electroncis,electrical and electroncis
114774,System & Corrosion,system and corrosion
114775,EE_PH,eeph
114779,ELEC.ENGG,elec engineering
114788,90,computer engineering
114798,ELECTRICAL & ELECTRONICS & ENGINEERING,electrical and electronics and engineering
114813,system software,system soware
114818,POWER ELECTRONICS&DRIVES,power electronics and drives
114829,Power Systems Engineering(Part-Time),power systems engineering part time
114840,Electrical Machines Drives,electrical machines drives
114846,Computational and integrative Sciences,computer and integrative science
114851,Computer (Software Engineering),computer soware engineering
114856,COMPUTER R SC & ENGG,computer rsc and engineering
114857,Computer Engineering (Shift-II),computer engineering shiii
114869,CSE-Bio Informatics,cse bio informatics
114877,Computer Engineering (II Shift),computer engineering ii shi
114885,Computer Sci. & Eng.,computer science and eng
114897,COMPUTER SCIENGGENCE &,computer science engineering 
114900,ELECTRICAL AND ELECTRONIC ENGINEERING,electrical and electronic engineering
114906,Electrical & Electronics Engg,electrical and electronics engineering
114909,Electrical& Electronics Engineering,electrical and electronics engineering
114910,PSCA,psca
114912,ELECTRICAL ANA ELECTRONICS,electrical ana electronics
114913,ELECTRICAL & ELECTRONICS ENGG,electrical and electronics engineering
114923,Comp. Sc Engg,computer science engineering
114932,Bachelor of Computer Science and Engineering,bachelor computer science and engineering
114933,COMPUTE R SCIENCE & ENGINEERI NG,computer r science and engineeri ng
114936,Compute,computer
114954,COMPUTER SCIENCE &  Engineering,computer science and engineering
114983,Computer Engineering (Honours in Machine Learning and Data  Analysis,computer engineering honours machine learning and data analysis
114984,Graphics & Gaming,graphics and gaming
115002,Information Security and Cloud Technology,information security and cloud technology
115003,COMPUTER SCIENCE AND ENGINEEIRNG,computer science and engineeirng
115010,MOBILE COMMUNICATION AND COMPUTING,mobile communication and computer
115022,CSE (PT),cse pt
115040,Computer Engineering (Honours in Computer Animation and Gaming),computer engineering honours computer animation and gaming
115048,COMPUTER SCIENCE& ENGINEERING,computer science engineering
115060,SE - QIP,qip
115070,B.Tech Computer Science and Systems Engineering,computer science and systems engineering
115072,M.E.in Computer Engineering,mein computer engineering
115089,"COMPUTER SCIENCE ENGG.,",computer science engineering
115090,computer Engg,computer engineering
115094,COMPUTER SCIENCE  AND  ENGINEERING,computer science and engineering
115103,COMPUTERSCIENCES  AND ENGINEERING,computer and engineering
115104,Comp  II,computer ii
115105,Computer Science & E,computer science and e
115106,Computer science  & Engineering -Part Time,computer science and engineering part time
115114,Computer Science and Enginering,computer science and enginering
115120,computer networking,computer ne2rking
115122,Computer science and Engg,computer science and engineering
115141,computer science and  engg,computer science and engineering
115157,Computer Engine,computer engine
115164,M.Tech (CSE),cse
115165,B.Tech Computer Engg.,computer engineering
115170,Computer Science  Engg,computer science engineering
115171,Compu Science and Engineeringter,computer science and engineeringter
115214,computer Science & Engineering,computer science and engineering
115217,07,computer engineering
115254,COMPUTER ENGINEERINGPrinting and Packaging Technology,computer engineeringprinting and packaging technology
115261,BACHELOR OF COMPUTER SCIENCE AND ENGINEERING,bachelor computer science and engineering
115265,COMPUTER SEIENCE AND ENGINEERING,computer seience and engineering
115286,B.E.-CSE,cse
115293,CSE-SECOND SHIFT,cse second shi
115307,PCI,pci
115308,Automated Manufacturing,automated manufacturing
115309,Industrial Management,industrial management
115313,CHEMICAL AND BIOCHEMICAL,chemical and biochemical
115316,AM,other engineering & technology
115317,AE & AM,ae and am
115322,Electronics and communication engg.,electronics and communication engineering
115324,FASHION TECHNOLOGY,fashion technology
115326,Biomedical Engg,biomedical engineering
115327,ELECTRONICS AND INSTRUMENTATIO N ENGINEERING,electronics and instrumentatio n engineering
115328,FIRST YEAR SUBJECTS,first year subjects
115329,M.Phil - Instrumentation,m phil instrumentation
115339,Medical Etx.,medical etx
115340,INFORMATION & COMMUNICATION TECHNOLOGY,information and communication technology
115343,textile technology,textile technology
115345,Ph.D (various specializations) Ph.D(Bio-Technology) Ph.D(Chemistry) Ph.D(Civil Engineering) Ph.D(Computer Engineering) Ph.D(Mathematics) Ph.D(Environmental Engineering) Ph.D(Electronics And Communication Engineering) Ph.D(Nano Technology) Ph.D(Physics) Ph,various specializations ph d bio technology ph d ph d civil engineering ph d computer engineering ph d mathematics ph d environmental engineering ph d electronics and communication engineering ph d nano technology ph d ph
115348,Computer/IT,computer
115354,Centre for energy and environment,centre for energy and environment
115359,Applied Instrumentation,applied instrumentation
115363,Manufacturing System Management,manufacturing system management
115366,B.Tech In Handloom&textile Technology,handloom and textile technology
115368,Phd,other engineering & technology
115375,Power System Engineering (Part time),power system engineering part time
115378,Audiography and Sound Engineering,audiography and sound engineering
